Number,Questions,Option a,Option b,Option c,Option d,Correct Answer,Explanation,Level of Difficulty,Source,SUBJECT
532,"In a fully saturated haemoglobin molecule, how many of its haem sites are bound with oxygen?",2,4,6,8,b,"Each haemoglobin molecule contains four iron-containing haem groups. Each of these haem groups can bind to one molecule of oxygen. Therefore, a fully saturated haemoglobin molecule carries four oxygen molecules.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
533,In what situation should a patient NOT be placed in a side-lying position?,If they are pregnant,If they have a suspected spinal fracture,If they have a pressure sore,If they have lower limb pain,b,"If a spinal injury is suspected, the patient should be kept in a neutral, aligned position (log-rolled if they must be moved) to prevent further damage to the spinal cord. A side-lying position could cause movement of the spine.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
534,Which of these is an indication for inserting an intrapleural chest drain?,Pneumothorax,Tuberculosis,Asthma,Malignancy of lungs,a,"A chest drain is inserted into the pleural space to drain air (in the case of a pneumothorax), fluid (pleural effusion), or blood (haemothorax). This allows a collapsed lung to re-expand.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
535,A client has MRSA pneumonia. What type of isolation is most appropriate?,Reverse isolation,Respiratory isolation,Standard precautions,Contact and Droplet isolation,d,MRSA pneumonia requires both contact precautions (as MRSA is spread by contact) and droplet precautions (as the infection is in the respiratory tract and can be spread by coughing/sneezing).,Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
536,A client has a positive PPD test and an abnormal chest x-ray. What precautions are needed?,Airborne precautions,Reverse isolation,Contact precautions,Standard precautions,a,"These findings are highly suggestive of active pulmonary tuberculosis (TB). TB is spread through the air, so airborne precautions (including a negative pressure isolation room and FFP3 masks for staff) are required.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
537,How should a patient be turned after a lumbar laminectomy?,Patient holds the side of the bed and tries to turn,Patient is turned as a single unit (log-rolling),"Head is raised and knees bent, patient tries to move",The patient should not be turned,b,"To maintain spinal alignment and prevent injury after spinal surgery, the patient should be 'log-rolled'. This involves the care team turning the patient's body as a single unit, avoiding any twisting of the spine.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
538,"Following a lumbar puncture, a client's consciousness deteriorates, they become bradycardic, and their systolic BP increases. What does this suggest?",A normal reaction,Spinal headache,Brain stem herniation,A side effect of medication,c,"This triad of signs (Cushing's triad) indicates a dangerous increase in intracranial pressure (ICP), potentially leading to brainstem herniation. It is a neurological emergency. A spinal headache is a common but less severe complication.",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
539,"A patient's IV site is red, painful, and swollen. What is the first nursing action?",Re-site the cannula,Inform the doctor,Apply a warm compress,Discontinue the infusion and remove the cannula,d,These are signs of phlebitis (inflammation of the vein) or infiltration/extravasation. The immediate action is to stop the infusion and remove the cannula to prevent further harm.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
540,"After a liver biopsy, how should the nurse position the patient?",Supine,Prone,Left-side lying,Right-side lying,d,"After a liver biopsy, the patient should be positioned on their right side. This applies pressure to the biopsy site on the liver, reducing the risk of bleeding, which is a major potential complication.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
541,What is a serious complication in the 24 hours following a liver biopsy?,Pain at the insertion site,Nausea and vomiting,Back pain,Bleeding,d,The liver is a very vascular organ. The most serious immediate complication of a liver biopsy is internal bleeding (haemorrhage) into the abdominal cavity.,Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
542,What is the correct position for a patient undergoing abdominal paracentesis?,Supine,Supine with head of bed elevated to 40-50cm,Prone,Side-lying,b,"An upright or semi-Fowler's position (supine with the head of the bed elevated) is preferred for abdominal paracentesis. This allows the ascitic fluid to pool in the lower abdomen, making it easier and safer to drain.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
543,Which of these is NOT an expected side effect of a lumbar puncture?,Headache,Back pain,Swelling and bruising,Nausea and vomiting,d,"While a post-dural puncture headache and localised back pain/bruising are common, significant nausea and vomiting are not expected and could indicate a more serious complication like meningitis or increased intracranial pressure.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
544,An assessment of a patient with peritonitis would be expected to find what?,Rebound tenderness and guarding,"Hyperactive, high-pitched bowel sounds",A soft abdomen,Ascites and increased vascular pattern,a,"Peritonitis is inflammation of the peritoneum. It causes severe abdominal pain, and classic signs include guarding (involuntary tensing of the abdominal muscles) and rebound tenderness (pain upon removal of pressure). The bowel sounds are typically reduced or absent.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
545,What are the typical symptoms of a gastric ulcer?,"Epigastric pain worsens before meals, pain wakes patient from sleep","Decreased bowel sounds, rigid abdomen, rebound tenderness",Boring epigastric pain radiating to the back,"Epigastric pain worsens after eating, and weight loss",d,"Pain from a gastric ulcer is classically described as worsening shortly after eating, as the presence of food in the stomach increases acid production. This can lead to a fear of eating and subsequent weight loss.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
546,The term 'gavage' indicates what?,Administration of a liquid feeding into the stomach,Visual examination of the stomach,Irrigation of the stomach with a solution,A surgical opening through the abdomen to the stomach,a,"Gavage is a term for feeding via a tube, such as a nasogastric tube, directly into the stomach. Lavage is washing out or irrigating the stomach.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
547,What is the main objective when preparing a patient with a stoma for discharge?,That the patient can independently manage their stoma,That their appliance has been changed regularly,That the patient knows their community stoma nurse,That they have a referral to the District Nurses,a,"The ultimate goal of stoma education is to empower the patient to be independent and confident in managing their own stoma care, including appliance changes and troubleshooting common problems.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
548,What diet would you recommend for a patient with a newly formed stoma?,Encourage high fibre foods,Encourage lots of vegetables and fruit,Encourage a varied diet as people can react differently,Avoid spicy foods,c,"In the initial post-operative period, a low-fibre diet is often recommended. However, the general advice is to reintroduce foods gradually and to encourage a normal, varied diet, as individual tolerances can differ greatly.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
549,A patient feels a cramping sensation after a colonoscopy. What is the most likely cause?,The sedative medication,Retained gas in the abdomen,A perforation of the colon,Dehydration,b,"During a colonoscopy, air is pumped into the colon to inflate it for better visualisation. It is very common for some of this gas to be retained afterwards, causing cramping and bloating until it is passed.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
550,Which of the following is NOT a cause of haemorrhoids (piles)?,Straining when passing stool,Being overweight,Lack of fibre in the diet,Prolonged walking,d,"Haemorrhoids are caused by increased pressure in the veins around the anus. This can be due to straining from constipation (often due to a low-fibre diet), obesity, and prolonged sitting. Walking is generally beneficial for circulation and bowel health.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
551,What is the difference between an acute and a chronic illness?,Acute illness has a rapid onset and short course; chronic illness is prolonged and rarely cured completely,Acute illness requires hospitalisation; chronic illness is managed in the community,Acute illness is severe; chronic illness is mild,Acute illness resolves without treatment; chronic illness requires medication,a,This is the fundamental definition. Acute illnesses (like a cold or appendicitis) are typically self-limiting or curable. Chronic illnesses (like diabetes or arthritis) are long-term conditions that are managed rather than cured.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
552,Which of these notifiable diseases must be reported at a national level?,Measles,Tuberculosis,Chickenpox,Swine flu,d,"While all are notifiable, pandemic influenza (like swine flu) is a public health emergency that requires immediate national-level reporting and coordination.",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
553,A client is being evaluated for acute leukaemia. Which finding is most significant?,The client collects stamps as a hobby.,The client recently lost his job as a postal worker.,The client had radiation for Hodgkin's disease as a teenager.,The client's brother had leukemia as a child.,c,Prior exposure to radiation therapy or chemotherapy for other cancers is a known significant risk factor for developing secondary leukaemias later in life.,Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
554,What is the priority nursing diagnosis for an adult client with acute leukaemia?,"Oral mucous membrane, altered",Risk for injury related to thrombocytopenia,Fatigue related to the disease process,Interrupted family processes,b,"In acute leukaemia, the bone marrow produces abnormal white cells and fails to produce enough platelets (thrombocytopenia). This puts the patient at a very high risk of serious bleeding, making 'risk for injury' the priority safety diagnosis.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
555,A client with sickle cell anaemia has a circulatory assessment of their lower extremities. Which finding indicates adequate circulation?,Body temperature of 99ºF or less,Toes moved in active range of motion,Sensation reported when soles of feet are touched,Capillary refill of < 3 seconds,d,"A brisk capillary refill time (less than 3 seconds) is a key indicator of good peripheral perfusion and circulation. The other options assess temperature, motor function, and sensory function, but not circulation directly.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
556,What is the best position for a client in a sickle cell crisis?,Side-lying with knees flexed,Knee-chest,High Fowler's with knees flexed,Semi-Fowler's with legs extended on the bed,d,"The aim is to promote perfusion and avoid joint flexion, which can impede blood flow. A comfortable, semi-Fowler's position with legs extended is often recommended. Flexing the knees and hips is generally avoided.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
557,What is the highest priority intervention for a client in a sickle cell crisis?,Taking hourly blood pressures,Encouraging fluid intake of at least 200mL per hour,Positioning in high Fowler's with knee gatch raised,Administering Tylenol as ordered,b,"A sickle cell crisis is caused by sickled red blood cells blocking blood vessels. Aggressive hydration (both oral and IV) is a top priority to improve blood flow and help flush out the sickled cells, alongside oxygen and effective pain relief.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
558,Which food would be best for a client in sickle cell crisis?,Steak,Cottage cheese,Popsicle,Lima beans,c,"The priority during a crisis is hydration. A popsicle provides fluid in an easily tolerated form. While other foods provide nutrients, ensuring adequate fluid intake is the most critical dietary intervention.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
559,A client in sickle cell crisis has a pulse oximetry of 92% and is in pain. What is the first nursing action?,Adjust the room temperature,Give a bolus of IV fluids,Start O²,Administer meperidine (Demerol) 75 mg IV push,c,"Following the ABC approach, airway and breathing are priorities. A pulse oximetry of 92% indicates hypoxia, which worsens sickling. The first action should be to administer oxygen to improve saturation levels.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
560,Which meal plan is best for a client with iron-deficiency anaemia?,"Roast beef, gelatin salad, green beans","Chicken salad sandwich, coleslaw, fries","Egg salad on wheat bread, carrot sticks, lettuce salad, raisin pie","Pork chop, creamed potatoes, corn",a,"To treat iron-deficiency anaemia, the diet should be rich in iron. Red meat, like roast beef, is an excellent source of easily absorbed haem iron. Green beans also contain iron.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
561,Which activity would be suitable for a client with sickle cell anaemia?,A vacation in the Rocky Mountains,A snow-skiing trip,Traveling by airplane for business,A bus trip to a museum,d,"Clients with sickle cell disease should avoid situations that can trigger a crisis, such as high altitudes (Rocky Mountains, airplanes) and extreme cold (skiing), as these can cause hypoxia. A bus trip to a museum is the least risky activity.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
562,What clinical manifestation is most indicative of anaemia?,BP 146/88,Respirations 28 shallow,Weight gain of 10 pounds,Pink complexion,b,"Anaemia leads to a reduced oxygen-carrying capacity of the blood. The body compensates by increasing the respiratory rate to try and get more oxygen. The patient would likely be pale, not have a pink complexion.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
563,What is a characteristic sign of Vitamin B12 deficiency?,Enlarged spleen,Elevated blood pressure,Bradycardia,"A beefy, red, sore tongue",d,"A smooth, beefy red, sore tongue (glossitis) is a classic sign of Vitamin B12 deficiency (pernicious anaemia). It is also associated with neurological symptoms like paraesthesia.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
564,Where is the best place to assess for jaundice in a dark-skinned person?,The conjunctiva of the eye,The soles of the feet,The roof of the mouth,The shins,c,"In people with dark skin, jaundice is often most reliably detected by examining the hard palate (the roof of the mouth). It can also be seen in the sclera (the whites of the eyes), but this can sometimes be misleading.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
565,What is the most appropriate position for a client with a fractured femur in Russell's traction?,Side-lying with knees flexed,Knee-chest,Supine with the foot of the bed slightly elevated,Prone,c,"Russell's traction is used to align and immobilise a fractured femur. The patient lies supine, and a system of slings and pulleys is used. Counter-traction is often achieved by slightly elevating the foot of the bed.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
566,A client with osteoarthritis is prescribed Celebrex (celecoxib). What is a key instruction?,Take the medication with milk,Report chest pain,Remain upright after taking for 30 minutes,Allow six weeks for optimal effects,b,"Celecoxib is a COX-2 inhibitor, a type of NSAID. These drugs carry an increased risk of cardiovascular events like heart attack and stroke. Therefore, patients should be advised to report any chest pain immediately.",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
567,Which piece of equipment is essential for a client after a total hip replacement?,High-seat commode,Recliner,TENS unit,Abduction pillow,d,"After a total hip replacement, it is crucial to prevent dislocation of the new joint. An abduction pillow is placed between the legs to keep the hip in the correct alignment and prevent adduction (movement towards the midline) and internal rotation.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
568,"How should a nurse handle a new, wet plaster-of-Paris cast?",With the fingertips,Petal the cast,Dry the cast with a hair dryer,Handle it with the palms of the hands,d,"A wet plaster cast is soft and can be easily dented. The nurse should handle it with the flat palms of their hands, not their fingertips, to avoid creating pressure points on the inside of the cast which could lead to sores.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
569,A teenager has a fibreglass cast. Can their friends autograph it?,"""It will be alright for your friends to autograph the cast.""","""Because the cast is made of plaster, autographing can weaken it.""","""If they don't use chalk, it is okay.""","""Writing on the cast will harm it.""",a,"Unlike plaster casts, modern fibreglass casts are strong and durable. Writing on them with a permanent marker is generally considered safe and does not damage the cast's integrity.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
570,What is the most likely symptom an elderly client with a fractured hip will exhibit?,Pain,Disalignment,Cool extremity,Absence of pedal pulses,a,"While other signs may be present, pain, especially in the groin or on movement, is the most consistent and immediate symptom of a fractured hip. The affected leg is also often shortened and externally rotated.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
571,What is the best way to prevent post-operative wound infection?,Administer a prescribed antibiotic,Wash her hands for two minutes before care,Wear a mask when providing care,Ask the client to cover her mouth when she coughs,b,"While antibiotics are important, good hand hygiene by healthcare staff is the single most effective measure to prevent the transmission of microorganisms and reduce the risk of surgical site infections.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
572,What is a key piece of teaching for a client taking oral contraceptives?,Weight gain should be reported,An alternate method of birth control is needed when taking antibiotics,"If a pill is missed, take two the next day",Changes in menstrual flow should be reported,b,Certain antibiotics (specifically enzyme-inducing ones like rifampicin) can reduce the effectiveness of the combined oral contraceptive pill. It is essential to advise the client to use additional barrier contraception during and for a period after the antibiotic course.,Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
573,Which method of birth control is most suitable for a client with well-controlled diabetes?,Intrauterine device (IUD),Oral contraceptives,Diaphragm,Contraceptive sponge,c,"The diaphragm is a barrier method and has no systemic hormonal effects, making it a very safe option for a woman with diabetes, as it does not affect blood glucose control. Hormonal methods may be suitable but require careful consideration.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
574,The success of the rhythm method of birth control depends on what?,The age of the client,The frequency of intercourse,The regularity of the menses,The range of the client's temperature,c,The rhythm method (a fertility awareness method) relies on predicting ovulation to avoid intercourse during the fertile window. This is only reliable if the woman has very regular menstrual cycles.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
575,When is conception most likely to occur?,When estrogen levels are low,When luteinizing hormone (LH) is high,When the endometrial lining is thin,When the progesterone level is low,b,A surge in Luteinizing Hormone (LH) from the pituitary gland triggers ovulation (the release of an egg from the ovary). Conception is most likely to occur around the time of the LH surge.,Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
576,A client with an epidural needs to be catheterised hourly. Why?,The bladder fills more rapidly,Her level of consciousness is such that she is in a trancelike state,The sensation of the bladder filling is diminished or lost,She is embarrassed to ask for the bedpan,c,"Epidural anaesthesia blocks the sensory nerves that signal when the bladder is full. The patient will not feel the urge to urinate, so the bladder must be emptied regularly with a catheter to prevent over-distension.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
577,What would a nurse expect to find in a client admitted with a goitre and likely hyperthyroidism?,Slow pulse,Anorexia,Bulging eyes,Weight gain,c,"A goitre is a swelling of the thyroid gland. In hyperthyroidism (Graves' disease), classic symptoms include a fast pulse, weight loss, and bulging eyes (exophthalmos).",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
578,Which action is contraindicated in a child with suspected epiglottitis?,Ambulation,Oral airway assessment using a tongue blade,Placing a blood pressure cuff on the arm,Checking the deep tendon reflexes,b,"Epiglottitis is inflammation of the epiglottis, which can cause sudden and complete airway obstruction. Any attempt to examine the throat with a tongue blade or swab can trigger a laryngospasm and close the airway. This is a medical emergency.",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
579,What would a nurse expect to find in a client with glomerulonephritis?,Hypertension,Lassitude,Fatigue,All of the above,d,"Glomerulonephritis is inflammation of the tiny filters in the kidneys. It can lead to high blood pressure, fluid retention, fatigue, and general feelings of weariness (lassitude).",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
580,A client with AIDS has a viral load of 200 copies/ml. What does this mean?,The client is at risk for opportunistic diseases,The client is no longer communicable,The client's viral load is relatively low so they are relatively free of circulating virus,The client is cured,c,"An undetectable or low viral load (e.g., <200 copies/ml) indicates that antiretroviral therapy is working effectively to suppress the virus. While the virus is still present, the risk of transmission is extremely low (Undetectable = Untransmittable).",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
581,How should pediculosis capitis (head lice) be treated?,Treatment is not recommended for children under 10,Bed linens should be washed in hot water,Medication therapy will continue for one year,Intravenous antibiotic therapy will be ordered,b,"In addition to using medicated lotions or sprays, it is important to wash bedding, hats, and clothing in hot water (at least 55°C) to kill any lice or nits and prevent re-infestation.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
582,What symptom is associated with enterobiasis (pinworms)?,Rectal itching,Nausea,Oral ulcerations,Scalp itching,a,"The most common symptom of pinworm infection is intense itching around the anus (pruritus ani), which is often worse at night when the female worms migrate out to lay their eggs.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
583,What should a client with AIDS be taught?,Avoid warm climates,Refrain from taking herbals without consulting their doctor,Avoid exercising,Report any changes in skin color,b,"Some herbal remedies, such as St. John's Wort, can interact with antiretroviral medications and make them less effective. It is crucial that the client discusses any complementary therapies with their doctor or pharmacist.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
584,A client has a cast for a fractured ulna. Which finding should be reported to the doctor?,Pain at the site,Warm fingers,Rapid pulses,Paresthesia of the fingers,d,"Paraesthesia (tingling or numbness) is a key sign of neurovascular compromise, possibly due to swelling inside the cast (compartment syndrome). It is a red flag that requires urgent medical attention.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
585,A client has burns to the face after an explosion. What is the most immediate concern?,Hypovolemia,Laryngeal edema,Hypernatremia,Hyperkalemia,b,"In facial burns, there is a high risk of inhalational injury. The heat and smoke can cause swelling of the upper airway (laryngeal edema), which can lead to a complete airway obstruction. Maintaining a patent airway is the absolute priority.",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
586,A client taking rosuvastatin (Crestor) should be given which instruction?,Report muscle weakness to the physician,Allow six months for the drug to take effect,Take the medication with fruit juice,Report difficulty sleeping,a,"A rare but serious side effect of statins is rhabdomyolysis, a condition where muscle fibres break down. Unexplained muscle pain or weakness should be reported to the doctor immediately.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
587,A client in hypertensive crisis is given diazoxide (Hyperstat). What should the nurse do?,Utilize an infusion pump,Check the blood glucose level,Place the client in Trendelenburg position,Cover the solution with foil,b,"Diazoxide can cause a significant increase in blood sugar (hyperglycaemia) by inhibiting insulin release. Therefore, blood glucose levels should be monitored closely.",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
588,"In a client with left-sided congestive heart failure, where should the nurse assess for oedema?",Feet,Neck,Lungs,Sacrum,c,"In left-sided heart failure, the left ventricle cannot pump blood effectively to the body, causing blood to back up into the lungs. This leads to pulmonary oedema, which can be assessed by auscultating for crackles in the lungs. Peripheral oedema (in the feet or sacrum) is more characteristic of right-sided heart failure.",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
589,What is the best method for evaluating the amount of peripheral oedema?,Weighing the client daily,Measuring the extremity,Measuring the intake and output,Checking for pitting,a,"While the other methods assess for the presence and degree of oedema, daily weighing is the most objective and sensitive method for monitoring changes in fluid status. A sudden weight gain often reflects fluid retention.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
590,A client receiving methotrexate for leukaemia is given leucovorin calcium. Why?,To treat iron-deficiency anaemia,To create a synergistic effect,To increase the number of circulating neutrophils,To reverse drug toxicity and prevent tissue damage,d,Methotrexate is a powerful chemotherapy drug that can damage healthy cells as well as cancer cells. Leucovorin is a form of folic acid that is used as a 'rescue' therapy to protect healthy cells from the effects of high-dose methotrexate.,Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
591,The physician has prescribed Nexium (esomeprazole) for erosive gastritis. When should it be administered?,30 minutes before a meal,With each meal,In a single dose at bedtime,30 minutes after meals,a,"Esomeprazole is a proton pump inhibitor (PPI). For optimal effect, PPIs should be taken 30-60 minutes before the first meal of the day, as this is when the proton pumps are most active.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
592,"A client has symptoms of blood-tinged haemoptysis, fatigue, and night sweats. This is consistent with what diagnosis?",Pneumonia,Reaction to antiviral medication,Tuberculosis,Superinfection due to low CD4 count,c,This is the classic triad of symptoms for active pulmonary tuberculosis (TB).,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
593,A client is prescribed Imitrex (sumatriptan) for migraines. Which condition in their history should be reported to the doctor?,Diabetes,Prinzmetal's angina,Cancer,Cluster headaches,b,"Triptans like sumatriptan work by causing vasoconstriction. They are contraindicated in patients with a history of ischaemic heart disease, including angina, as they can cause coronary artery spasm.",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
594,A positive Kernig's sign is charted if the nurse notes what?,Pain on flexion of the hip and knee,Nuchal rigidity on flexion of the neck,Pain when the head is turned to the left side,Pain and resistance on extension of the knee when the hip is flexed,d,"Kernig's sign is a test for meningeal irritation. With the patient lying down and their hip flexed, there is pain and resistance when the knee is extended.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
595,A client with HPV (Human Papillomavirus) is at risk for which of the following?,Hodgkin's lymphoma,Cervical cancer,Multiple myeloma,Ovarian cancer,b,Infection with certain high-risk strains of HPV is the primary cause of cervical cancer.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
596,"A client has a small, painful blister on her vulva. What is the most likely cause?",Syphilis,Herpes,Gonorrhea,Condylomata,b,"A painful, fluid-filled blister or ulcer on the genitals is the characteristic lesion of a primary herpes simplex virus infection.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
597,A client has cancer of the pancreas. What is a priority nursing diagnosis?,Alteration in nutrition,Alteration in bowel elimination,Alteration in skin integrity,Ineffective individual coping,a,"Pancreatic cancer often causes severe pain, nausea, and malabsorption, leading to significant weight loss and malnutrition (cachexia). Maintaining adequate nutrition is a major nursing challenge and priority.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
598,A client has 'uremic frost'. This is often seen in clients with what condition?,Severe anaemia,Arteriosclerosis,End-stage renal disease,Parathyroid disorder,c,"Uremic frost is a rare sign of severe, end-stage kidney disease. It occurs when urea and other nitrogenous wastes build up in the blood to such a high level that they crystallise on the skin as sweat evaporates.",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
599,A visitor brings a basket of fruit for a client with a white cell count of 450. What should the nurse do?,Allow the client to keep the fruit,Place the fruit next to the bed,Offer to wash the fruit for the client,Ask the family members to take the fruit home,d,A white cell count of 450 is extremely low (severe neutropenia). The client is highly susceptible to infection. Fresh fruit and vegetables can carry bacteria and fungi and should be avoided as part of a neutropenic diet.,Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
600,A client becomes non-responsive and hypotensive (BP 90/40) after a laryngectomy. What is the initial action?,Place the client in Trendelenburg position,Increase the infusion of normal saline,Administer atropine intravenously,Move the emergency cart to the bedside,d,"The patient is critically unwell. The initial action is to recognise this, call for help (which includes bringing the emergency cart to the bedside), and then begin a systematic ABCDE assessment.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
601,A client accidentally pulls out their chest tube. What is the correct nursing action?,Order a chest x-ray,Reinsert the tube,"Cover the insertion site with a sterile occlusive dressing, taped on three sides",Call the doctor,c,"The priority is to prevent air from being sucked into the pleural space, which would cause a tension pneumothorax. A sterile occlusive dressing, taped on three sides only, creates a flutter valve that allows air to escape but not to enter. This should be done while calling for immediate medical help.",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
602,A client on warfarin has a Protime of 120 seconds. What is the most important intervention?,Assess for signs of abnormal bleeding,Anticipate an increase in the Coumadin dosage,Instruct the client regarding the drug therapy,Increase the frequency of neurological assessments,a,"A prothrombin time of 120 seconds is dangerously high (the target INR is usually 2-3). The client's blood is very thin, and they are at extremely high risk of spontaneous and severe bleeding. Assessing for bleeding is the priority.",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
603,The hourly output from a chest tube after a lung resection is 300ml. What is the priority action?,Turning the client to the left side,Milking the tube to ensure patency,Slowing the intravenous infusion,Notifying the physician,d,An output of 300ml in one hour is a very large amount and indicates significant postoperative bleeding (haemorrhage). This is a surgical emergency that requires immediate notification of the surgeon.,Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
604,What should a client with leukaemia be taught to avoid?,Using oil- or cream-based soaps,Flossing between the teeth,The intake of salt,Using an electric razor,b,"Clients with leukaemia often have low platelet counts (thrombocytopenia), which puts them at risk of bleeding. They should be taught to avoid activities that can cause trauma to the gums, such as flossing or using a hard toothbrush. An electric razor is safer than a blade.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
605,A client with neutropenia is on a minimal-bacteria diet. What should they avoid?,Fruits,Salt,Pepper,Ketchup,c,"Black pepper can be a source of bacteria and is often excluded from a strict neutropenic diet, along with unwashed fruits, raw vegetables, and unpasteurised dairy.",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
606,A client is hospitalised with MRSA. What is true about contact precautions?,The room should have negative pressure,"Infection requires close contact; therefore, the door may remain open",The client should wear a mask at all times,"Infection requires skin-to-skin contact and is prevented by hand washing, gloves, and a gown",d,"MRSA is spread by direct contact with the patient or contaminated surfaces. Therefore, contact precautions involve meticulous hand hygiene and the use of gloves and aprons/gowns for any direct patient contact or contact with their immediate environment. The door can remain open.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
607,A client with AIDS has been exposed to measles. What is the most appropriate action?,Administer an antibiotic,Contact the physician for an order for immune globulin,Administer an antiviral,Tell the client to remain in isolation for two weeks,b,"A person with AIDS is severely immunocompromised and may not be able to mount an immune response to measles. They can be given human normal immunoglobulin, which contains antibodies to measles, to provide passive immunity and prevent or modify the infection.",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
